day,project,outstanding_usd_value
2021-02-09T00:00:00+00:00,MakerDAO,6233966634.940143
2021-01-09T00:00:00+00:00,Aave,3247625737.365605
2021-05-20T00:00:00+00:00,Compound,11888622894.637997
2021-01-14T00:00:00+00:00,Aave,3160228670.1649237
2021-01-08T00:00:00+00:00,Aave,3179152692.464528
2021-01-18T00:00:00+00:00,Aave,3534956804.0921717
2021-03-06T00:00:00+00:00,Compound,9033811982.383646
2020-12-26T00:00:00+00:00,Compound,3801518482.048768
2021-01-16T00:00:00+00:00,Aave,3499559172.2633743
2021-03-20T00:00:00+00:00,Compound,11038635278.906622
2020-12-15T00:00:00+00:00,Compound,3503570598.9756355
2021-05-04T00:00:00+00:00,Compound,14562341907.901237
2021-02-10T00:00:00+00:00,Compound,7461338400.1952
2021-05-13T00:00:00+00:00,MakerDAO,12019424487.769823
2021-03-29T00:00:00+00:00,Compound,10437024501.980373
2020-12-28T00:00:00+00:00,MakerDAO,2686490178.4020343
2021-01-12T00:00:00+00:00,MakerDAO,3747205556.937062
2021-04-23T00:00:00+00:00,Aave,7485523831.977003
2020-12-20T00:00:00+00:00,Compound,3685127354.332144
2021-01-20T00:00:00+00:00,Aave,3494489670.8186474
2021-01-03T00:00:00+00:00,MakerDAO,3118770515.8738365
2021-04-22T00:00:00+00:00,Compound,13380674149.173288
2021-02-22T00:00:00+00:00,Aave,6857865703.115344
2021-02-12T00:00:00+00:00,MakerDAO,6479325024.951389
2021-03-17T00:00:00+00:00,MakerDAO,6830640205.992601
2021-05-01T00:00:00+00:00,MakerDAO,9614052887.99158
2021-05-05T00:00:00+00:00,Compound,14587662194.143015
2021-05-23T00:00:00+00:00,MakerDAO,6416549696.40854
2020-12-08T00:00:00+00:00,Compound,3334793189.633294
2021-05-07T00:00:00+00:00,MakerDAO,11731596508.587261
2021-04-13T00:00:00+00:00,MakerDAO,7789509620.783763
2021-01-10T00:00:00+00:00,Aave,3360341063.7770996
2020-12-03T00:00:00+00:00,MakerDAO,2372461495.7208767
2021-02-02T00:00:00+00:00,Compound,5695251542.587958
2021-04-01T00:00:00+00:00,Aave,7923181323.750262
2021-02-03T00:00:00+00:00,Compound,5985995957.166602
2021-04-19T00:00:00+00:00,Compound,12162376201.704048
2020-12-14T00:00:00+00:00,MakerDAO,2276517041.4353414
2021-01-13T00:00:00+00:00,Compound,4227414566.591101
2021-01-03T00:00:00+00:00,Compound,3744757951.6387086
2021-01-28T00:00:00+00:00,Aave,4595409017.980131
2021-02-21T00:00:00+00:00,MakerDAO,7065756366.761416
2020-12-05T00:00:00+00:00,MakerDAO,2374102885.266258
2021-05-07T00:00:00+00:00,Compound,15601900451.262678
2020-12-22T00:00:00+00:00,Compound,3683461896.4547567
2020-12-12T00:00:00+00:00,MakerDAO,2200263963.6379495
