day,outstanding_usd_value,project
2021-03-14T00:00:00+00:00,1382322369.3523755,Aave
2021-03-14T00:00:00+00:00,4821518161.958914,Compound
2021-03-14T00:00:00+00:00,2702471638.8229403,MakerDAO
2021-03-15T00:00:00+00:00,1396203671.0647857,Aave
2021-03-15T00:00:00+00:00,4771389908.204384,Compound
2021-03-15T00:00:00+00:00,2741362046.0661674,MakerDAO
2021-03-16T00:00:00+00:00,1453480749.0906935,Aave
2021-03-16T00:00:00+00:00,4913669317.613773,Compound
2021-03-16T00:00:00+00:00,2765440520.2096806,MakerDAO
2021-03-17T00:00:00+00:00,1440311221.9418545,Aave
2021-03-17T00:00:00+00:00,4969346059.817045,Compound
2021-03-17T00:00:00+00:00,2799952002.298027,MakerDAO
2021-03-18T00:00:00+00:00,1464287439.1702423,Aave
2021-03-18T00:00:00+00:00,5023625833.719019,Compound
2021-03-18T00:00:00+00:00,2817449966.7164826,MakerDAO
2021-03-19T00:00:00+00:00,1461944501.5804794,Aave
2021-03-19T00:00:00+00:00,4935433573.150712,Compound
2021-03-19T00:00:00+00:00,2833565180.7724023,MakerDAO
2021-03-20T00:00:00+00:00,1474411097.3689537,Aave
2021-03-20T00:00:00+00:00,5093059356.609121,Compound
2021-03-20T00:00:00+00:00,2833749517.1497984,MakerDAO
2021-03-21T00:00:00+00:00,1459557902.4244704,Aave
2021-03-21T00:00:00+00:00,5021097634.565511,Compound
2021-03-21T00:00:00+00:00,2841640323.103048,MakerDAO
2021-03-22T00:00:00+00:00,1457762419.624748,Aave
2021-03-22T00:00:00+00:00,4993294863.342632,Compound
2021-03-22T00:00:00+00:00,2875483522.313787,MakerDAO
2021-03-23T00:00:00+00:00,1490967682.2349052,Aave
2021-03-23T00:00:00+00:00,5104236909.311468,Compound
2021-03-23T00:00:00+00:00,2878869444.886888,MakerDAO
2021-03-24T00:00:00+00:00,1509847670.9454656,Aave
2021-03-24T00:00:00+00:00,5244847870.616373,Compound
2021-03-24T00:00:00+00:00,2869107054.6146007,MakerDAO
2021-03-25T00:00:00+00:00,1432854035.1210852,Aave
2021-03-25T00:00:00+00:00,5129354319.454204,Compound
2021-03-25T00:00:00+00:00,2882382593.232373,MakerDAO
2021-03-26T00:00:00+00:00,1479772791.6778345,Aave
2021-03-26T00:00:00+00:00,5143748509.417772,Compound
2021-03-26T00:00:00+00:00,2908683626.8945427,MakerDAO
2021-03-27T00:00:00+00:00,1500352851.8629234,Aave
2021-03-27T00:00:00+00:00,5089026336.865442,Compound
2021-03-27T00:00:00+00:00,2925020737.4437985,MakerDAO
2021-03-28T00:00:00+00:00,1506321508.7636042,Aave
2021-03-28T00:00:00+00:00,5024291061.302731,Compound
2021-03-28T00:00:00+00:00,2939407483.301138,MakerDAO
2021-03-29T00:00:00+00:00,1616481695.8892722,Aave
2021-03-29T00:00:00+00:00,5046563420.281098,Compound
2021-03-29T00:00:00+00:00,2948902307.9643564,MakerDAO
2021-03-30T00:00:00+00:00,1639411302.6558926,Aave
2021-03-30T00:00:00+00:00,5081287661.576645,Compound
2021-03-30T00:00:00+00:00,2969611603.0211334,MakerDAO
2021-03-31T00:00:00+00:00,1658659925.6105356,Aave
2021-03-31T00:00:00+00:00,5120996926.321107,Compound
2021-03-31T00:00:00+00:00,2972047349.159686,MakerDAO
2021-04-01T00:00:00+00:00,1678498203.3247375,Aave
2021-04-01T00:00:00+00:00,5167236106.5771265,Compound
2021-04-01T00:00:00+00:00,3015007541.2134657,MakerDAO
2021-04-02T00:00:00+00:00,1717922563.7402515,Aave
2021-04-02T00:00:00+00:00,5486225630.985703,Compound
2021-04-02T00:00:00+00:00,3095795710.175667,MakerDAO
2021-04-03T00:00:00+00:00,1678137799.8091424,Aave
2021-04-03T00:00:00+00:00,5676629481.000132,Compound
2021-04-03T00:00:00+00:00,3117376610.8500443,MakerDAO
