date_trunc,project,usd_volume
2021-05-01T00:00:00+00:00,LINKSWAP,1420753.022093367887041
2020-01-01T00:00:00+00:00,Loopring,0.77325
2020-02-01T00:00:00+00:00,Loopring,638674.065656595124
2020-03-01T00:00:00+00:00,Loopring,10518256.870543350928
2020-04-01T00:00:00+00:00,Loopring,6236416.290142103203
2020-05-01T00:00:00+00:00,Loopring,9125009.914052733672
2020-06-01T00:00:00+00:00,Loopring,16359365.295922996915
2020-07-01T00:00:00+00:00,Loopring,17979464.461364139305
2020-08-01T00:00:00+00:00,Loopring,16899735.147447943896
2020-09-01T00:00:00+00:00,Loopring,20130339.94062359251113
2020-10-01T00:00:00+00:00,Loopring,11389782.75961793461793
2020-11-01T00:00:00+00:00,Loopring,13367991.654522465951
2020-12-01T00:00:00+00:00,Loopring,15899250.79068780496
2021-01-01T00:00:00+00:00,Loopring,120459533.465247308885
2020-08-01T00:00:00+00:00,Mooniswap,102051293.02531522032044486479432
2020-09-01T00:00:00+00:00,Mooniswap,111549640.7418984812865710998626
2020-10-01T00:00:00+00:00,Mooniswap,48099870.704331035464833372266288
2020-11-01T00:00:00+00:00,Mooniswap,73418340.4967141080819332739769
2020-12-01T00:00:00+00:00,Mooniswap,52991246.49793632477464808026
2021-01-01T00:00:00+00:00,Mooniswap,11858026.65114521402665466851
2021-02-01T00:00:00+00:00,Mooniswap,15558786.8213071732185890246
2021-03-01T00:00:00+00:00,Mooniswap,7447723.80051622389714701
2021-04-01T00:00:00+00:00,Mooniswap,18068774.53613412111326
2021-05-01T00:00:00+00:00,Mooniswap,2814781.2002371392862
2019-02-01T00:00:00+00:00,Oasis,16234336.20770743066830613969
2019-03-01T00:00:00+00:00,Oasis,19911134.55949104654821545915
2019-04-01T00:00:00+00:00,Oasis,27665314.74559604910134243402
2019-05-01T00:00:00+00:00,Oasis,77221557.07547074252255033181
2019-06-01T00:00:00+00:00,Oasis,85888284.37960457498277735690
2019-07-01T00:00:00+00:00,Oasis,93199759.03263624181588890516
2019-08-01T00:00:00+00:00,Oasis,43524426.54267292703426723066
2019-09-01T00:00:00+00:00,Oasis,43363463.10756622708552748237
2019-10-01T00:00:00+00:00,Oasis,36860587.02902222579876022916
2019-11-01T00:00:00+00:00,Oasis,36305801.287536527404595415969458
2019-12-01T00:00:00+00:00,Oasis,22985778.38625662812146264357
2020-01-01T00:00:00+00:00,Oasis,44112395.1456044415975419816101
2020-02-01T00:00:00+00:00,Oasis,112997377.531693114241950250956513
2020-03-01T00:00:00+00:00,Oasis,132687671.667077730266570405000853
2020-04-01T00:00:00+00:00,Oasis,64086017.579776491929587555965049
2020-05-01T00:00:00+00:00,Oasis,53460108.754991220419855035183148
2020-06-01T00:00:00+00:00,Oasis,50850145.131396363849091615841592
2020-07-01T00:00:00+00:00,Oasis,55630168.637221344703267031857703
2020-08-01T00:00:00+00:00,Oasis,53925708.38985777277282676691
2020-09-01T00:00:00+00:00,Oasis,14138824.72231796228522103140
2020-10-01T00:00:00+00:00,Oasis,892849.8805929210403892
2020-11-01T00:00:00+00:00,Oasis,6781746.58671603275963409
2020-12-01T00:00:00+00:00,Oasis,4302777.968224670150924
2021-01-01T00:00:00+00:00,Oasis,8010860.0633411103470313
2021-02-01T00:00:00+00:00,Oasis,468.051058999999998
2020-09-01T00:00:00+00:00,Sushiswap,2269791591.3717758864198138442
2020-10-01T00:00:00+00:00,Sushiswap,878884854.156819252639403256606255
2020-11-01T00:00:00+00:00,Sushiswap,1997787747.475886832962459302590750
2020-12-01T00:00:00+00:00,Sushiswap,3074669109.12170976783325939305437
2021-01-01T00:00:00+00:00,Sushiswap,12382595713.46021411982460513378501
2021-02-01T00:00:00+00:00,Sushiswap,14277051253.677487694263408132258663
2021-03-01T00:00:00+00:00,Sushiswap,9144031388.328499721319046012819671
2021-04-01T00:00:00+00:00,Sushiswap,11075335333.823821783390515093639051
2021-05-01T00:00:00+00:00,Sushiswap,1009852036.794199987334949740856108
2019-09-01T00:00:00+00:00,Synthetix,54912696.001515116536184233912
2019-10-01T00:00:00+00:00,Synthetix,175334494.48034348585483721484036
2019-11-01T00:00:00+00:00,Synthetix,87664325.0235664812897629813519
2019-12-01T00:00:00+00:00,Synthetix,289446629.6245851401154668681313844973
2020-01-01T00:00:00+00:00,Synthetix,342784517.32740623291581607330984214157
2020-02-01T00:00:00+00:00,Synthetix,270405827.81473196813552591445297914446916
2020-03-01T00:00:00+00:00,Synthetix,18516097.5907076147054866005420044
2020-04-01T00:00:00+00:00,Synthetix,34582634.320218414048497593114
2020-05-01T00:00:00+00:00,Synthetix,17963526.9280136935507838227
2020-06-01T00:00:00+00:00,Synthetix,38533215.2561953677799726323904085
2020-07-01T00:00:00+00:00,Synthetix,145483456.023029491529701710834
2020-08-01T00:00:00+00:00,Synthetix,193425445.7834202039082195744904782748
2020-09-01T00:00:00+00:00,Synthetix,222161699.062913271846815290237
2020-10-01T00:00:00+00:00,Synthetix,49493603.125898129688869477284558983484
2020-11-01T00:00:00+00:00,Synthetix,235866212.206952650356554858901544067481
2020-12-01T00:00:00+00:00,Synthetix,727370621.98315326604152621399031997616184
2021-01-01T00:00:00+00:00,Synthetix,1347360681.610898943415329101818
2021-02-01T00:00:00+00:00,Synthetix,722682652.74892421299918318295114004
2021-03-01T00:00:00+00:00,Synthetix,466002862.985261190666640245592273530000000000
2021-04-01T00:00:00+00:00,Synthetix,362668720.319526978210130593250000
2021-05-01T00:00:00+00:00,Synthetix,44633967.84355491978708277671
2019-01-01T00:00:00+00:00,Uniswap,973475.334485361399184363565
2019-02-01T00:00:00+00:00,Uniswap,11976002.941668722382386813421
2019-03-01T00:00:00+00:00,Uniswap,16691554.59647763800396531818317
2019-04-01T00:00:00+00:00,Uniswap,35387968.742647418737033341050905
2019-05-01T00:00:00+00:00,Uniswap,46795235.127657626667606749787689
2019-06-01T00:00:00+00:00,Uniswap,42202579.693821366733423404016242
2019-07-01T00:00:00+00:00,Uniswap,42459293.895422301915425404135572
2019-08-01T00:00:00+00:00,Uniswap,27097553.89642839508316621961555
2019-09-01T00:00:00+00:00,Uniswap,24466923.109947262177936228641674
2019-10-01T00:00:00+00:00,Uniswap,27770092.126305706710980837105022
2019-11-01T00:00:00+00:00,Uniswap,54029149.947499984239163263164432
2019-12-01T00:00:00+00:00,Uniswap,60605366.699754318682790172029036
2020-01-01T00:00:00+00:00,Uniswap,63462909.413112273728086947718407
2020-02-01T00:00:00+00:00,Uniswap,143655473.783643926946444748467738
2020-03-01T00:00:00+00:00,Uniswap,222071550.361146596441398514578422
2020-04-01T00:00:00+00:00,Uniswap,169842857.564706917424488014102475
2020-05-01T00:00:00+00:00,Uniswap,284094103.628326797294233554063241
2020-06-01T00:00:00+00:00,Uniswap,452333852.230427660125049666636423
2020-07-01T00:00:00+00:00,Uniswap,1761016837.358311428194359940432075
