day,cumulative_volume
2020-11-10T00:00:00+00:00,14753005514.96993
2020-11-11T00:00:00+00:00,14792648422.18605
2020-11-12T00:00:00+00:00,14850008836.582218
2020-11-13T00:00:00+00:00,14928410490.113829
2020-11-14T00:00:00+00:00,15237595244.598923
2020-11-15T00:00:00+00:00,15305907189.672415
2020-11-16T00:00:00+00:00,15382794361.287668
2020-11-17T00:00:00+00:00,15466084621.02539
2020-11-18T00:00:00+00:00,15572654049.154875
2020-11-19T00:00:00+00:00,15653330158.137564
2020-11-20T00:00:00+00:00,15737274501.77731
2020-11-21T00:00:00+00:00,15802795579.910343
2020-11-22T00:00:00+00:00,15921257545.967352
2020-11-23T00:00:00+00:00,15987749374.602314
2020-11-24T00:00:00+00:00,16047638949.174614
2020-11-25T00:00:00+00:00,16090423805.11464
2020-11-26T00:00:00+00:00,16272725320.169712
2020-11-27T00:00:00+00:00,16312264864.164608
2020-11-28T00:00:00+00:00,16349244795.442299
2020-11-29T00:00:00+00:00,16380151983.220675
2020-11-30T00:00:00+00:00,16563004247.687218
2020-12-01T00:00:00+00:00,16641792106.546875
2020-12-02T00:00:00+00:00,16699439097.302334
2020-12-03T00:00:00+00:00,16729001983.303501
2020-12-04T00:00:00+00:00,16766660034.147722
2020-12-05T00:00:00+00:00,16827701017.081635
2020-12-06T00:00:00+00:00,16867284948.017242
2020-12-07T00:00:00+00:00,16906062448.049538
2020-12-08T00:00:00+00:00,16951842080.57362
2020-12-09T00:00:00+00:00,17017614104.897297
2020-12-10T00:00:00+00:00,17077872200.83594
2020-12-11T00:00:00+00:00,17127833101.03656
2020-12-12T00:00:00+00:00,17224758130.751724
2020-12-13T00:00:00+00:00,17267594552.484634
2020-12-14T00:00:00+00:00,17312355715.91369
2020-12-15T00:00:00+00:00,17353292753.931602
2020-12-16T00:00:00+00:00,17441964578.92761
2020-12-17T00:00:00+00:00,17522233654.617134
2020-12-18T00:00:00+00:00,17601075560.884476
2020-12-19T00:00:00+00:00,17657498086.315334
2020-12-20T00:00:00+00:00,17702174039.931595
2020-12-21T00:00:00+00:00,17792558131.475456
2020-12-22T00:00:00+00:00,17990241685.29869
2020-12-23T00:00:00+00:00,18117927886.29277
2020-12-24T00:00:00+00:00,18201887511.863937
2020-12-25T00:00:00+00:00,18255033939.074158
2020-12-26T00:00:00+00:00,18334112429.92487
2020-12-27T00:00:00+00:00,18479814507.169056
2020-12-28T00:00:00+00:00,18608791857.86281
2020-12-29T00:00:00+00:00,18696415983.688053
2020-12-30T00:00:00+00:00,18934537728.371784
2020-12-31T00:00:00+00:00,19086867654.941628
2021-01-01T00:00:00+00:00,19240749729.645653
2021-01-02T00:00:00+00:00,19885404284.81897
2021-01-03T00:00:00+00:00,20085186761.245644
2021-01-04T00:00:00+00:00,20374028124.94386
2021-01-05T00:00:00+00:00,20544588832.692707
2021-01-06T00:00:00+00:00,20731771463.521812
2021-01-07T00:00:00+00:00,20965714751.84837
2021-01-08T00:00:00+00:00,21157896489.89154
2021-01-09T00:00:00+00:00,21322213125.441067
2021-01-10T00:00:00+00:00,21500230679.564423
2021-01-11T00:00:00+00:00,21807103689.03173
2021-01-12T00:00:00+00:00,22019764727.397537
2021-01-13T00:00:00+00:00,22160718070.38495
2021-01-14T00:00:00+00:00,22424239364.852875
2021-01-15T00:00:00+00:00,22628799805.209316
2021-01-16T00:00:00+00:00,22768591615.30743
2021-01-17T00:00:00+00:00,22864161119.180122
2021-01-18T00:00:00+00:00,22985158123.830772
2021-01-19T00:00:00+00:00,23178242826.56664
2021-01-20T00:00:00+00:00,23325966266.922333
2021-01-21T00:00:00+00:00,23534871722.907784
2021-01-22T00:00:00+00:00,23928352261.65663
2021-01-23T00:00:00+00:00,24096417945.81691
2021-01-24T00:00:00+00:00,24238220391.32968
2021-01-25T00:00:00+00:00,24440612988.91396
2021-01-26T00:00:00+00:00,24629663429.4651
2021-01-27T00:00:00+00:00,24798732778.232365
2021-01-28T00:00:00+00:00,24950574674.89191
2021-01-29T00:00:00+00:00,25209826433.23686
2021-01-30T00:00:00+00:00,25308797521.280533
2021-01-31T00:00:00+00:00,25460166915.79096
2021-02-01T00:00:00+00:00,25600258547.965824
2021-02-02T00:00:00+00:00,25772192283.568398
2021-02-03T00:00:00+00:00,25876081682.781387
2021-02-04T00:00:00+00:00,26029956614.989815
2021-02-05T00:00:00+00:00,26140305493.097736
2021-02-06T00:00:00+00:00,26263099840.102993
2021-02-07T00:00:00+00:00,26404465961.065018
2021-02-08T00:00:00+00:00,26647245765.152843
2021-02-09T00:00:00+00:00,26803589810.702522
2021-02-10T00:00:00+00:00,27023669235.575424
2021-02-11T00:00:00+00:00,27165869400.18745
2021-02-12T00:00:00+00:00,27277429064.055523
