hour,troves
2021-04-23T22:00:00+00:00,895
2021-04-23T23:00:00+00:00,895
2021-04-24T00:00:00+00:00,894
2021-04-24T01:00:00+00:00,896
2021-04-24T02:00:00+00:00,902
2021-04-24T03:00:00+00:00,904
2021-04-24T04:00:00+00:00,909
2021-04-24T06:00:00+00:00,913
2021-04-24T07:00:00+00:00,913
2021-04-24T08:00:00+00:00,915
2021-04-24T09:00:00+00:00,916
2021-04-24T10:00:00+00:00,917
2021-04-24T11:00:00+00:00,919
2021-04-24T13:00:00+00:00,920
2021-04-24T14:00:00+00:00,920
2021-04-24T15:00:00+00:00,920
2021-04-24T16:00:00+00:00,925
2021-04-24T17:00:00+00:00,927
2021-04-24T18:00:00+00:00,932
2021-04-24T19:00:00+00:00,935
2021-04-24T20:00:00+00:00,935
2021-04-24T21:00:00+00:00,939
2021-04-24T22:00:00+00:00,943
2021-04-24T23:00:00+00:00,945
2021-04-25T00:00:00+00:00,948
2021-04-25T01:00:00+00:00,949
2021-04-25T02:00:00+00:00,950
2021-04-25T03:00:00+00:00,951
2021-04-25T04:00:00+00:00,953
2021-04-25T05:00:00+00:00,955
2021-04-25T06:00:00+00:00,958
2021-04-25T07:00:00+00:00,960
2021-04-25T08:00:00+00:00,960
2021-04-25T09:00:00+00:00,963
2021-04-25T10:00:00+00:00,966
2021-04-25T11:00:00+00:00,967
2021-04-25T12:00:00+00:00,969
2021-04-25T13:00:00+00:00,976
2021-04-25T14:00:00+00:00,978
2021-04-25T15:00:00+00:00,976
2021-04-25T16:00:00+00:00,978
2021-04-25T17:00:00+00:00,981
2021-04-25T19:00:00+00:00,984
2021-04-25T20:00:00+00:00,985
2021-04-25T21:00:00+00:00,987
2021-04-25T22:00:00+00:00,988
2021-04-25T23:00:00+00:00,990
2021-04-26T00:00:00+00:00,996
2021-04-26T01:00:00+00:00,1000
2021-04-26T02:00:00+00:00,1001
2021-04-26T03:00:00+00:00,1006
2021-04-26T04:00:00+00:00,1006
2021-04-26T05:00:00+00:00,1011
2021-04-26T06:00:00+00:00,1013
2021-04-26T07:00:00+00:00,1012
2021-04-26T08:00:00+00:00,1013
2021-04-26T09:00:00+00:00,1012
2021-04-26T10:00:00+00:00,1014
2021-04-26T11:00:00+00:00,1016
2021-04-26T12:00:00+00:00,1019
2021-04-26T14:00:00+00:00,1018
2021-04-26T15:00:00+00:00,1020
2021-04-26T16:00:00+00:00,1018
2021-04-26T17:00:00+00:00,1017
2021-04-26T18:00:00+00:00,1018
2021-04-26T19:00:00+00:00,1019
2021-04-26T21:00:00+00:00,1021
2021-04-26T22:00:00+00:00,1022
2021-04-26T23:00:00+00:00,1023
2021-04-27T00:00:00+00:00,1024
2021-04-27T01:00:00+00:00,1026
2021-04-27T02:00:00+00:00,1027
2021-04-27T03:00:00+00:00,1030
2021-04-27T05:00:00+00:00,1031
2021-04-27T06:00:00+00:00,1032
2021-04-27T07:00:00+00:00,1029
2021-04-27T08:00:00+00:00,1028
2021-04-27T10:00:00+00:00,1033
2021-04-27T11:00:00+00:00,1034
2021-04-27T12:00:00+00:00,1034
2021-04-27T13:00:00+00:00,1034
2021-04-27T14:00:00+00:00,1033
2021-04-27T15:00:00+00:00,1029
2021-04-27T16:00:00+00:00,1030
2021-04-27T17:00:00+00:00,1031
2021-04-27T18:00:00+00:00,1035
2021-04-27T19:00:00+00:00,1033
2021-04-27T20:00:00+00:00,1034
2021-04-27T21:00:00+00:00,1033
2021-04-27T22:00:00+00:00,1035
2021-04-27T23:00:00+00:00,1034
2021-04-28T00:00:00+00:00,1034
2021-04-28T01:00:00+00:00,1033
2021-04-28T02:00:00+00:00,1032
2021-04-28T03:00:00+00:00,1034
2021-04-28T04:00:00+00:00,1035
2021-04-28T05:00:00+00:00,1035
2021-04-28T07:00:00+00:00,1037
2021-04-28T08:00:00+00:00,1037
2021-04-28T09:00:00+00:00,1038
2021-04-28T11:00:00+00:00,1037
2021-04-28T13:00:00+00:00,1039
2021-04-28T14:00:00+00:00,1039
2021-04-28T17:00:00+00:00,1039
2021-04-28T19:00:00+00:00,1037
2021-04-28T21:00:00+00:00,1040
2021-04-29T00:00:00+00:00,1041
2021-04-29T01:00:00+00:00,1042
2021-04-29T02:00:00+00:00,1043
2021-04-29T03:00:00+00:00,1044
2021-04-29T04:00:00+00:00,1045
2021-04-29T05:00:00+00:00,1045
2021-04-29T06:00:00+00:00,1042
2021-04-29T07:00:00+00:00,1041
2021-04-29T08:00:00+00:00,1042
2021-04-29T09:00:00+00:00,1042
2021-04-29T10:00:00+00:00,1041
2021-04-29T11:00:00+00:00,1039
2021-04-29T14:00:00+00:00,1040
2021-04-29T16:00:00+00:00,1040
2021-04-29T17:00:00+00:00,1041
2021-04-29T18:00:00+00:00,1037
2021-04-29T19:00:00+00:00,1036
2021-04-29T20:00:00+00:00,1036
2021-04-29T21:00:00+00:00,1037
2021-04-29T22:00:00+00:00,1039
2021-04-29T23:00:00+00:00,1040
2021-04-30T00:00:00+00:00,1041
2021-04-30T02:00:00+00:00,1042
2021-04-30T03:00:00+00:00,1040
2021-04-30T05:00:00+00:00,1039
2021-04-30T06:00:00+00:00,1036
2021-04-30T07:00:00+00:00,1036
2021-04-30T08:00:00+00:00,1036
2021-04-30T09:00:00+00:00,1037
2021-04-30T10:00:00+00:00,1036
2021-04-30T11:00:00+00:00,1038
2021-04-30T12:00:00+00:00,1039
2021-04-30T13:00:00+00:00,1037
2021-04-30T15:00:00+00:00,1039
2021-04-30T16:00:00+00:00,1038
2021-04-30T17:00:00+00:00,1039
2021-04-30T18:00:00+00:00,1039
2021-04-30T19:00:00+00:00,1041
2021-04-30T20:00:00+00:00,1042
2021-04-30T21:00:00+00:00,1044
2021-04-30T22:00:00+00:00,1043
2021-04-30T23:00:00+00:00,1044
2021-05-01T00:00:00+00:00,1046
2021-05-01T01:00:00+00:00,1047
2021-05-01T02:00:00+00:00,1046
2021-05-01T03:00:00+00:00,1047
2021-05-01T04:00:00+00:00,1048
2021-05-01T05:00:00+00:00,1048
2021-05-01T06:00:00+00:00,1050
2021-05-01T07:00:00+00:00,1054
2021-05-01T08:00:00+00:00,1055
2021-05-01T09:00:00+00:00,1054
2021-05-01T10:00:00+00:00,1054
2021-05-01T11:00:00+00:00,1056
2021-05-01T12:00:00+00:00,1055
2021-05-01T13:00:00+00:00,1052
2021-05-01T14:00:00+00:00,1054
2021-05-01T15:00:00+00:00,1054
2021-05-01T16:00:00+00:00,1055
2021-05-01T17:00:00+00:00,1055
2021-05-01T18:00:00+00:00,1054
2021-05-01T19:00:00+00:00,1054
2021-05-01T20:00:00+00:00,1057
2021-05-01T22:00:00+00:00,1062
2021-05-01T23:00:00+00:00,1063
2021-05-02T00:00:00+00:00,1064
2021-05-02T02:00:00+00:00,1063
2021-05-02T03:00:00+00:00,1062
2021-05-02T04:00:00+00:00,1061
