date,frax_rfv,treasury_rfv,dai_rfv
2021-05-21T00:00:00+00:00,0.00000000000000000000000000000000000,4054435.2032636007672149767380350192439534156658888948428680582500642973008968744064,4054435.2032636007672149767380350192439534156658888948428680582500642973008968744064
2021-05-20T00:00:00+00:00,0.00000000000000000000000000000000000,4049741.5056071794216862448581909271341225220170434574075071340192245945791293936658,4049741.5056071794216862448581909271341225220170434574075071340192245945791293936658
2021-05-19T00:00:00+00:00,0.00000000000000000000000000000000000,4043681.0054639358708353886712835313186497252147925669829303182355412441020899524636,4043681.0054639358708353886712835313186497252147925669829303182355412441020899524636
2021-05-18T00:00:00+00:00,0.00000000000000000000000000000000000,4043087.2095300105833016512357292260353911970483605038763670097656725588323072813640,4043087.2095300105833016512357292260353911970483605038763670097656725588323072813640
2021-05-17T00:00:00+00:00,0.00000000000000000000000000000000000,4007469.9699786857503499956841556622421469961080568413500389471054945047244959103474,4007469.9699786857503499956841556622421469961080568413500389471054945047244959103474
2021-05-16T00:00:00+00:00,0.00000000000000000000000000000000000,4003281.0427997915662074961764551848340563285002251294455657541303933578663018320328,4003281.0427997915662074961764551848340563285002251294455657541303933578663018320328
2021-05-15T00:00:00+00:00,0.00000000000000000000000000000000000,3980474.3823614738732228414213541161602405646404718569683567622145400355429111132430,3980474.3823614738732228414213541161602405646404718569683567622145400355429111132430
2021-05-14T00:00:00+00:00,0.00000000000000000000000000000000000,3980047.6806520564411478627722886869657966645088393589235289105079093146680276748544,3980047.6806520564411478627722886869657966645088393589235289105079093146680276748544
2021-05-13T00:00:00+00:00,0.00000000000000000000000000000000000,3979641.5249513756067653846443047429264517499017669975231821201283138381997828666368,3979641.5249513756067653846443047429264517499017669975231821201283138381997828666368
2021-05-12T00:00:00+00:00,0.00000000000000000000000000000000000,3942809.8083404882156232819766174755087340175095685771460145509974648533654001623624,3942809.8083404882156232819766174755087340175095685771460145509974648533654001623624
2021-05-11T00:00:00+00:00,0.00000000000000000000000000000000000,3827632.8401070042995418932633805729621534206929816587209713927207549976963499904128,3827632.8401070042995418932633805729621534206929816587209713927207549976963499904128
2021-05-10T00:00:00+00:00,0.00000000000000000000000000000000000,3827300.7460269097215125277854164262914942321705782138279990243617151865725227769520,3827300.7460269097215125277854164262914942321705782138279990243617151865725227769520
2021-05-09T00:00:00+00:00,0.00000000000000000000000000000000000,3737928.8889423048857692566245606383291050518083142772975246437735812663123880216302,3737928.8889423048857692566245606383291050518083142772975246437735812663123880216302
2021-05-08T00:00:00+00:00,0.00000000000000000000000000000000000,3726954.7316869910135577675796500207132649549750538327426612076281723826682323652000,3726954.7316869910135577675796500207132649549750538327426612076281723826682323652000
2021-05-07T00:00:00+00:00,0.00000000000000000000000000000000000,3664511.0903268335110015194242510885518589317709079442119113340533811778338721464364,3664511.0903268335110015194242510885518589317709079442119113340533811778338721464364
2021-05-06T00:00:00+00:00,0.00000000000000000000000000000000000,3536779.9918766019534985999177434001907777225024136632889712365053190062596766625600,3536779.9918766019534985999177434001907777225024136632889712365053190062596766625600
2021-05-05T00:00:00+00:00,0.00000000000000000000000000000000000,3309065.4567847334867564047936985346790147475402276182134404028437579840164658815056,3309065.4567847334867564047936985346790147475402276182134404028437579840164658815056
2021-05-04T00:00:00+00:00,0.00000000000000000000000000000000000,3278535.8455061615200599558322019797049773393778750275819239340093917286439907384226,3278535.8455061615200599558322019797049773393778750275819239340093917286439907384226
2021-05-03T00:00:00+00:00,0.00000000000000000000000000000000000,3251259.8176675098736992623939079161431571078278707172626442278861546632776195803068,3251259.8176675098736992623939079161431571078278707172626442278861546632776195803068
2021-05-02T00:00:00+00:00,0.00000000000000000000000000000000000,3224981.5968647030191197738019112587105277763845063051988296888493280609397505660244,3224981.5968647030191197738019112587105277763845063051988296888493280609397505660244
2021-05-01T00:00:00+00:00,0.00000000000000000000000000000000000,3111432.4772195878046344391984354428210415347357246834788062363807185677743973432514,3111432.4772195878046344391984354428210415347357246834788062363807185677743973432514
2021-04-30T00:00:00+00:00,0.00000000000000000000000000000000000,2978219.4911285774320140494957173406224602710547368504851145605777783942962503086944,2978219.4911285774320140494957173406224602710547368504851145605777783942962503086944
2021-04-29T00:00:00+00:00,0.00000000000000000000000000000000000,2964232.1389987706946677020360803755680007779143319034798121682176976842967567614400,2964232.1389987706946677020360803755680007779143319034798121682176976842967567614400
2021-04-28T00:00:00+00:00,0.00000000000000000000000000000000000,2807361.4051110445857045396806183295768884033160073174216697994926548222504805506864,2807361.4051110445857045396806183295768884033160073174216697994926548222504805506864
2021-04-27T00:00:00+00:00,0.00000000000000000000000000000000000,2730014.6979671583417952223094850961630564532224938745710273575254459552228077634856,2730014.6979671583417952223094850961630564532224938745710273575254459552228077634856
2021-04-26T00:00:00+00:00,0.00000000000000000000000000000000000,2708419.0345378602208179025134302487885577844173252538331888954424796491173164127424,2708419.0345378602208179025134302487885577844173252538331888954424796491173164127424
2021-04-25T00:00:00+00:00,0.00000000000000000000000000000000000,2407747.5660173135286210609198450700282160896622624514361826447620494929221167417818,2407747.5660173135286210609198450700282160896622624514361826447620494929221167417818
2021-04-24T00:00:00+00:00,0.00000000000000000000000000000000000,2037407.2207650767298010778057125180098372197119361522192209635812893791131453501516,2037407.2207650767298010778057125180098372197119361522192209635812893791131453501516
2021-04-23T00:00:00+00:00,0.00000000000000000000000000000000000,1564383.0051768326636889668260255777705887884252526412224197462588134198652743101030,1564383.0051768326636889668260255777705887884252526412224197462588134198652743101030
2021-04-22T00:00:00+00:00,0.00000000000000000000000000000000000,1301951.5027520962274231036375493712760245428928374813556431048023302973316852723532,1301951.5027520962274231036375493712760245428928374813556431048023302973316852723532
2021-04-21T00:00:00+00:00,0.00000000000000000000000000000000000,1009547.7204651214777502933879093032680143926745665114978897197208383902381936383848,1009547.7204651214777502933879093032680143926745665114978897197208383902381936383848
2021-04-20T00:00:00+00:00,0.00000000000000000000000000000000000,540516.2854340073703082358815968721910760332718935824838124752937658526466810908980,540516.2854340073703082358815968721910760332718935824838124752937658526466810908980
2021-04-19T00:00:00+00:00,0.00000000000000000000000000000000000,522644.8641040408582101984646632894800399397978855450587387676614418256263398225626,522644.8641040408582101984646632894800399397978855450587387676614418256263398225626
2021-04-18T00:00:00+00:00,0.00000000000000000000000000000000000,483234.1809655755028573657559944784805423848706170303695369610426143261785013915902,483234.1809655755028573657559944784805423848706170303695369610426143261785013915902
2021-04-17T00:00:00+00:00,0.00000000000000000000000000000000000,468748.5722760049596893006082695800046909459452804237188119279230089541910335725320,468748.5722760049596893006082695800046909459452804237188119279230089541910335725320
2021-04-16T00:00:00+00:00,0.00000000000000000000000000000000000,453922.0459212378360103770838233865606925851387426815706143381827411849074013829632,453922.0459212378360103770838233865606925851387426815706143381827411849074013829632
2021-04-15T00:00:00+00:00,0.00000000000000000000000000000000000,406028.2252695100611601866626179049500355841834378300955490284273326238962388514528,406028.2252695100611601866626179049500355841834378300955490284273326238962388514528
2021-04-14T00:00:00+00:00,0.00000000000000000000000000000000000,367124.0527683040707203397963785423405513153804637370965367265610714794924022909024,367124.0527683040707203397963785423405513153804637370965367265610714794924022909024
2021-04-13T00:00:00+00:00,0.00000000000000000000000000000000000,322631.2536275815884962327564406167871319084302295543054188066543740985177423190852,322631.2536275815884962327564406167871319084302295543054188066543740985177423190852
2021-04-12T00:00:00+00:00,0.00000000000000000000000000000000000,289827.7963028817584678443451696656242330053694131107649655943961525967487195246800,289827.7963028817584678443451696656242330053694131107649655943961525967487195246800
2021-04-11T00:00:00+00:00,0.00000000000000000000000000000000000,254087.0040035217318670419988736970672098464620121841647945109254688724862958021432,254087.0040035217318670419988736970672098464620121841647945109254688724862958021432
2021-04-10T00:00:00+00:00,0.00000000000000000000000000000000000,217549.2610523810370914786925703432169872510937550568610380849849537261212410450888,217549.2610523810370914786925703432169872510937550568610380849849537261212410450888
2021-04-09T00:00:00+00:00,0.00000000000000000000000000000000000,195595.4799958633961627191563880907531963794737647928082685217816244998162199089280,195595.4799958633961627191563880907531963794737647928082685217816244998162199089280
2021-04-08T00:00:00+00:00,0.00000000000000000000000000000000000,160603.1080424192631966681179727915474284350028876019967998183273543511257536781842,160603.1080424192631966681179727915474284350028876019967998183273543511257536781842
2021-04-07T00:00:00+00:00,0.00000000000000000000000000000000000,139819.7456699368405623188728030411136295465975344065445686510701739639399706141040,139819.7456699368405623188728030411136295465975344065445686510701739639399706141040
2021-04-06T00:00:00+00:00,0.00000000000000000000000000000000000,129363.2750710685195864026618790151740359931812273149033927352899673778211293537492,129363.2750710685195864026618790151740359931812273149033927352899673778211293537492
2021-04-05T00:00:00+00:00,0.00000000000000000000000000000000000,119779.6584971853340818780370868976402324712526438128564384547205825378074065610268,119779.6584971853340818780370868976402324712526438128564384547205825378074065610268
2021-04-04T00:00:00+00:00,0.00000000000000000000000000000000000,114283.4538804746543548328535613786151912706487755500089292682988699787985576664336,114283.4538804746543548328535613786151912706487755500089292682988699787985576664336
2021-04-03T00:00:00+00:00,0.00000000000000000000000000000000000,98692.0016039155672779400765737304675909145294110807743521977938087495353051636456,98692.0016039155672779400765737304675909145294110807743521977938087495353051636456
2021-04-02T00:00:00+00:00,0.00000000000000000000000000000000000,93424.5262212955172252674169999953288851503060742038752341597827054620650185566436,93424.5262212955172252674169999953288851503060742038752341597827054620650185566436
2021-04-01T00:00:00+00:00,0.00000000000000000000000000000000000,91461.3276866286921406426009527923997226448314838364235694473503586694376689329450,91461.3276866286921406426009527923997226448314838364235694473503586694376689329450
2021-03-31T00:00:00+00:00,0.00000000000000000000000000000000000,74782.2551750611866000640000000000000000000000000000000000000000000000000000000000,74782.2551750611866000640000000000000000000000000000000000000000000000000000000000
2021-03-30T00:00:00+00:00,0.00000000000000000000000000000000000,73720.4553011659237000640000000000000000000000000000000000000000000000000000000000,73720.4553011659237000640000000000000000000000000000000000000000000000000000000000
2021-03-29T00:00:00+00:00,0.00000000000000000000000000000000000,72525.2352889680499000190000000000000000000000000000000000000000000000000000000000,72525.2352889680499000190000000000000000000000000000000000000000000000000000000000
2021-03-28T00:00:00+00:00,0.00000000000000000000000000000000000,71193.61305578159080001900000000000000000000000000000000000000000000000000,71193.61305578159080001900000000000000000000000000000000000000000000000000
2021-03-27T00:00:00+00:00,0.00000000000000000000000000000000000,70637.27058589339640001900000000000000000000000000000000000000000000000000,70637.27058589339640001900000000000000000000000000000000000000000000000000
2021-03-26T00:00:00+00:00,0.00000000000000000000000000000000000,69741.78140463472730001000000000000000000000000000000000000000000000000000,69741.78140463472730001000000000000000000000000000000000000000000000000000
2021-03-25T00:00:00+00:00,0.00000000000000000000000000000000000,68962.80579351317760001000000000000000000000000000000000000000000000000000,68962.80579351317760001000000000000000000000000000000000000000000000000000
2021-03-24T00:00:00+00:00,0.00000000000000000000000000000000000,68260.00000000000000000000000000000000000000000000000000000000000000000000,68260.00000000000000000000000000000000000000000000000000000000000000000000
2021-03-23T00:00:00+00:00,0.00000000000000000000000000000000000,68260.00000000000000000000000000000000000000000000000000000000000000000000,68260.00000000000000000000000000000000000000000000000000000000000000000000
