date,treasury_rfv,ohm_staked_amount,10k_apy,20k_apy,50k_apy,70k_apy,100k_apy
2021-05-28T00:00:00+00:00,4203529.5592583757750676576595216089036687121054969341676708605953294631864684218832,221409.1615957290000000000000000000,233.3114329704093580459038259945882007438899162631477698095526988949046525374163,202.7886947355395228782840903412179912703189001923356521195325993846520921882545,172.8891074359328058775661505192748410524799720398582916753306575512862956584630,164.0094864916962266341971221022920966121921644561040903853229437747346834942639,155.5409810646236603155779081071335174119065133502444409319394153433407140991676
2021-05-27T00:00:00+00:00,4173272.6327714047408438162761414474590931682649990784430451846555684432973561677336,220049.4918783320000000000000000000,233.2270940381017704395510496912872265509226530858822502170352403211899152598217,202.7153893609151517352451071165078291097703938900648269694271387570864094450664,172.8266103583437804540315995069588869355909033798942212778022186921663293474522,163.9501992771653394198979147717313428416651923411936994277442552697215918384854,155.4847551004432901966263782532448790773388725009283418805655427843244490777728
2021-05-26T00:00:00+00:00,4168569.2485599397450555778553791367720541838045022187622184310874972100938235370112,215145.8164880270000000000000000000,234.9239296926083227108657566586732230642030396069167245201301444906864626366394,204.1902381635529134265743739115105475799435215484991502812446031528839487203950,174.0840043833091655502970265668819789107001322161202517252298093160411083092116,165.1430132803767338751218817172576411459872457023653289806756940634542385118085,156.6159790573972367494143874233268243339625731928142571845239215750270972195936
2021-05-25T00:00:00+00:00,4064438.0007862891066844686148468566316356111835742890136584653346159934143761126016,210699.8252081950000000000000000000,234.5739334983754487982749253193135511747860879572994711319947151424117067430874,203.8860298764266988067359673278798716682641459969515146140097211656031740368449,173.8246491993110910531142974061369276462086405655747478942242178595910355789286,164.8969786332128207980460808116247965379859883355047174477423087213573944152662,156.3826482226122556157615450649127433256898277183823079381986137014024554843499
2021-05-24T00:00:00+00:00,4063078.4486968007112328633285282890360763627655284013716373460666931926333650426040,207753.3916093430000000000000000000,235.6635969612816019658522768237167362454940879474005650354280208431559664424817,204.8331391909186824106315669409281152445841146212405409822155056178067523746634,174.6321147448648998998644946802154305893766714217887513728777686262968166673403,165.6629725784073878934142671828440020522866189116142367904754132582412585307753,157.1090906514845437299895609341983891088892415591194854224914308610166772819718
2021-05-23T00:00:00+00:00,4058396.4630259559734721143619336470382844186414621677470182495591394033183734188980,196272.4816166390000000000000000000,240.0779028636226999359565243533815743632709750838753939459388599810012832801219,208.6699478749263490608342328218620402881181832950118415566600930418308069479169,177.9032163693691580877881882733305714549668705942104202568533826027216580306018,168.7660697350394414415714915656007449800301245785797844010045131486817639996305,160.0519617402604402148998987975543860230307760786226127484766344628343752234514
2021-05-22T00:00:00+00:00,4057814.7165650040738873251333826923112525540746464860648491850199172790331284652096,198550.7143255460000000000000000000,239.1518432322569904470748059766035533722021339940497526770593703473053448920098,207.8650390819837207801919642430217459732259705751327780730072135800148322896043,177.2169850044468376969033055840736697061290694794256543606208213725429021968469,168.1150833574441239309460890963348918640293002138962645728252087697776740914999,159.4345885504723741679089872848810712062580734888472788296778083842876921327504
2021-05-21T00:00:00+00:00,4054435.2032636007672149767380350192439534156658888948428680582500642973008968744064,198571.3413106460000000000000000000,239.0775722200954672177899577649253755774977001575620632550895871655207077356119,207.8004845017766167029746409306308378773771534803336234948948677094686601460259,177.1619484859295577164078871167438277921976349745176945746716147905089817881232,168.0628735261009043611363550075259651615713427017283360267228731944769301171095,159.3850745341672620659801139391323431113681473872173284577635464846131317736553
2021-05-20T00:00:00+00:00,4049741.5056071794216862448581909271341225220170434574075071340192245945791293936658,198270.2588362380000000000000000000,239.1060303533781539604439296104757031239228323358666217345065784198407640067578,207.8252196278248030659174650323344469939924635568503943405731284372678648257383,177.1830366135017737535988941030246933929101644329919745564496926379256068362803,168.0828785630027936225943848568610575140220332773723640520960213156215635895984,159.4040466261633637374654797371462928921214288715527162426109307893143314409491
2021-05-19T00:00:00+00:00,4043681.0054639358708353886712835313186497252147925669829303182355412441020899524636,192892.3530635090000000000000000000,241.1668477250596604586470688745361040290198808283247183040076963545654666187779,209.6164325982779957935161857083086795404132292410570112270442465852411658871067,178.7101494148005806331320454991319094318614255025273104764930032795541048613682,169.5315585294299782351314659075848733181815356303535301143434436176694555518854,160.7779251014072865165851864895907952276981688696688982458274977738545790493050
